filename,run_number,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_qm.ipynb,,scenario1-quantilemapping,no-preupsample,2 dataset,Quantile Mapping,n/a,U10 (m/s),1.1163,0.8462,-0.0191,0.875,1.1679,0.0442
sc1_qm.ipynb,,scenario1-quantilemapping,no-preupsample,2 dataset,Quantile Mapping,n/a,V10 (m/s),1.1189,0.8517,0.0845,0.8612,1.0916,-0.0251
sc1_qm.ipynb,,scenario1-quantilemapping,no-preupsample,2 dataset,Quantile Mapping,n/a,T2m (K),0.6149,0.4814,-0.1026,0.8194,0.7312,0.1591
sc1_qm.ipynb,,scenario1-quantilemapping,no-preupsample,2 dataset,Quantile Mapping,n/a,TP 24hr (mm),0.0065,0.0035,0.0,0.8072,0.006,-0.0828
sc1_resnet18_preupsample_run1_executed.ipynb,1,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.0732,0.8136,-0.0107,0.8903,1.1679,0.0811
sc1_resnet18_preupsample_run1_executed.ipynb,1,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.0678,0.8125,0.1147,0.8737,1.0916,0.0218
sc1_resnet18_preupsample_run1_executed.ipynb,1,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,T2m (K),0.5737,0.4475,0.028,0.8305,0.7312,0.2155
sc1_resnet18_preupsample_run1_executed.ipynb,1,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0065,0.0033,-0.0008,0.8097,0.006,-0.0777
sc1_resnet18_preupsample_run2_executed.ipynb,2,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.0719,0.8131,0.0394,0.8905,1.1679,0.0822
sc1_resnet18_preupsample_run2_executed.ipynb,2,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.0669,0.8132,0.1309,0.8736,1.0916,0.0226
sc1_resnet18_preupsample_run2_executed.ipynb,2,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,T2m (K),0.5726,0.4467,0.0265,0.8307,0.7312,0.217
sc1_resnet18_preupsample_run2_executed.ipynb,2,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8104,0.006,-0.072
sc1_resnet18_preupsample_run3_executed.ipynb,3,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.0709,0.8115,0.01,0.8901,1.1679,0.0831
sc1_resnet18_preupsample_run3_executed.ipynb,3,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.0601,0.8067,0.0498,0.8741,1.0916,0.0288
sc1_resnet18_preupsample_run3_executed.ipynb,3,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,T2m (K),0.5721,0.4464,0.0201,0.8312,0.7312,0.2176
sc1_resnet18_preupsample_run3_executed.ipynb,3,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,TP 24hr (mm),0.0065,0.0033,-0.0008,0.8102,0.006,-0.0752
sc1_resnet18_preupsample_run4_executed.ipynb,4,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,U10 (m/s),1.0694,0.8104,-0.0231,0.8902,1.1679,0.0844
sc1_resnet18_preupsample_run4_executed.ipynb,4,scenario1-resnet18-preupsample,preupsample,2 dataset,ResNet18,mae,V10 (m/s),1.0638,0.8094,0.0751,0.874,1.0916,0.0254
